Day,case,temp,tempmax,dew,windspeed,case_ema
2009-01-12,0.0,16.1,20.3,8.41,16.259999999999998,0.0
2009-01-19,0.0,15.53,20.9,6.93,14.22,0.0
2009-01-26,7.0,16.4,19.79,12.1,19.78,1.076923076923077
2009-02-02,3.0,14.8,18.22,10.16,15.19,1.3727810650887575
2009-02-09,2.0,19.630000000000003,23.37,15.610000000000005,13.9,1.4692762858443333
2009-02-16,4.0,22.7,27.660000000000004,18.1,17.65,1.858618395714436
2009-02-23,7.0,23.520000000000003,27.160000000000004,20.06,22.96,2.6496001809891383
2009-03-02,10.0,21.66,23.68,19.48,21.1,3.780430922375425
2009-03-09,11.0,17.729999999999997,19.9,13.8,18.16,4.891133857394591
2009-03-16,15.0,19.2,22.35,14.220000000000002,15.94,6.446344033180038
2009-03-23,21.0,22.55,26.01,18.27,18.160000000000004,8.685368028075416
2009-03-30,23.0,24.5,27.77,20.68,20.89,10.8876191006792
2009-04-06,21.0,21.630000000000003,24.54,17.71,19.96,12.443370008267014
2009-04-13,32.0,23.48,26.97,19.62,20.5,15.452082314687473
2009-04-20,21.0,26.660000000000004,30.579999999999995,22.75,20.32,16.305608112427862
2009-04-27,62.0,27.130000000000003,31.1,21.5,22.42,23.33551455666973
2009-05-04,63.0,24.96,28.19,19.87,18.160000000000004,29.437743086412848
2009-05-11,75.0,25.77,28.76,21.71,21.71,36.447321073118566
2009-05-18,74.0,26.99,30.380000000000003,23.89,22.6,42.224656292638784
2009-05-25,67.0,27.96,31.73,23.55,18.7,46.036247632232815
2009-06-01,48.0,28.360000000000003,32.29,23.0,18.01,46.338363381120075
2009-06-08,42.0,28.68,33.21,22.91,17.98,45.670922860947755
2009-06-15,33.0,30.71,35.39,24.13,18.67,43.72155011310964
2009-06-22,23.0,30.6,34.86,24.9,16.869999999999997,40.53361932647739
2009-06-29,30.0,30.71,34.49,24.92,17.619999999999997,38.913062507019326
2009-07-06,14.0,29.070000000000004,32.510000000000005,24.08,18.34,35.080283659785586
2009-07-13,13.0,28.6,32.0,24.38,24.05,31.683316942895495
2009-07-20,7.0,29.22,33.05,24.860000000000003,22.58,27.885883567065417
2009-07-27,15.0,30.04,34.11,25.0,16.84,25.903439941363043
2009-08-03,21.0,29.93,34.03,25.360000000000003,15.010000000000002,25.14906456576873
2009-08-10,32.0,30.880000000000003,34.9,25.15,18.74,26.20305463257354
2009-08-17,29.0,29.65,34.010000000000005,24.44,19.81,26.63335391986992
2009-08-24,11.0,29.48,33.8,24.78,20.62,24.228222547582238
2009-08-31,39.0,29.75,33.84,24.52,17.080000000000002,26.500803694108047
2009-09-07,76.0,29.75,34.400000000000006,24.1,17.23,34.11606466424527
2009-09-14,82.0,30.11,34.11,24.17,15.37,41.48282394666908
2009-09-21,54.0,28.94,32.620000000000005,24.99,17.95,43.40854333948922
2009-09-28,71.0,28.53,32.88,23.28,21.86,47.65338282572165
2009-10-05,38.0,28.07,31.97000000000001,22.26,16.26,46.16824700637986
2009-10-12,43.0,28.28,32.690000000000005,21.98,14.01,45.680824390013726
2009-10-19,42.0,26.14,29.43,21.880000000000003,16.119999999999997,45.114543714627
2009-10-26,34.0,26.48,30.22,21.96,14.079999999999998,43.40461391237669
2009-11-02,27.0,26.160000000000004,30.29,21.36,17.92,40.88082715662643
2009-11-09,28.0,24.56,29.620000000000005,17.35,17.64,38.899161440222365
2009-11-16,24.0,24.1,27.87,18.98,21.7,36.60698275711123
2009-11-23,15.0,17.16,20.270000000000003,8.09,18.520000000000003,33.28283156370951
2009-11-30,12.0,20.59,24.99,14.95,15.220000000000002,30.008549784677275
2009-12-07,10.0,21.11,24.880000000000003,16.05,16.12,26.93031135626539
2009-12-14,4.0,22.51,26.770000000000003,18.45,20.2,23.402571147609176
2009-12-21,6.0,18.95,21.43,12.919999999999998,19.48,20.725252509515457
2009-12-28,0.0,18.15,21.500000000000004,12.5,16.52,17.536752123436155
2010-01-04,3.0,18.39,20.54,15.53,17.6,15.300328719830594
2010-01-11,7.0,18.34,20.96,15.27,18.52,14.023355070625886
2010-01-18,3.0,16.520000000000003,19.37,10.84,17.8,12.327454290529596
2010-01-25,5.0,17.76,20.64,14.95,16.15,11.20015363044812
2010-02-01,4.0,19.06,21.48,16.669999999999998,17.29,10.092437687302255
2010-02-08,2.0,24.32,27.77,21.59,23.56,8.84744727387114
2010-02-15,0.0,21.79,25.73,18.31,24.47,7.486301539429426
2010-02-22,7.0,14.52,16.44,10.42,17.8,7.4114859179787445
2010-03-01,3.0,21.52,26.130000000000003,18.160000000000004,16.15,6.732795776751245
2010-03-08,2.0,24.07,28.58,21.03,24.1,6.004673349558746
2010-03-15,2.0,19.27,21.67,14.64,18.7,5.388569757318939
2010-03-22,0.0,21.79,24.64,19.87,18.12,4.5595590254237175
2010-03-29,0.0,22.31,25.47,17.490000000000002,23.87,3.8580884061277607
2010-04-05,0.0,21.880000000000003,24.66,19.26,19.270000000000003,3.264536343646567
2010-04-12,1.0,23.05,25.5,21.44,18.880000000000003,2.9161461369317103
2010-04-19,0.0,22.54,25.610000000000003,20.53,20.21,2.467508269711447
2010-04-26,0.0,23.660000000000004,27.630000000000003,20.5,22.97,2.0878916128327627
2010-05-03,0.0,24.28,27.4,21.130000000000003,20.72,1.7666775185507992
2010-05-10,0.0,27.26,30.56,24.59,22.32,1.4948809772352916
2010-05-17,0.0,28.08,31.4,25.08,23.64,1.264899288429862
2010-05-24,0.0,29.44,34.25,25.28,23.97,1.0702993979021909
2010-05-31,0.0,28.590000000000003,32.870000000000005,25.04,18.77,0.9056379520710846
2010-06-07,2.0,28.160000000000004,31.910000000000004,23.84,23.12,1.0740013440601484
2010-06-14,3.0,29.66,34.15,25.36,21.610000000000003,1.3703088295893564
2010-06-21,5.0,31.58,36.24,26.15,18.34,1.9287228558063787
2010-06-28,3.0,30.59,34.59,26.380000000000003,21.52,2.093534724143859
2010-07-05,8.0,31.04,35.54,26.18,22.99,3.0022216896601885
2010-07-12,14.0,32.459999999999994,37.53,25.72,23.65,4.694187583558621
2010-07-19,14.0,29.83,33.94,25.45,25.36,6.125851032241911
2010-07-26,26.0,28.73,32.010000000000005,25.56,22.12,9.183412411897002
2010-08-02,30.0,29.42,33.14,26.0,18.95,12.385964348528233
2010-08-09,52.0,29.24,33.42,25.6,19.630000000000003,18.480431371831582
2010-08-16,53.0,28.790000000000003,32.67,25.77,17.65,23.791134237703645
2010-08-23,53.0,28.41,32.260000000000005,25.640000000000004,22.04,28.284805893441543
2010-08-30,31.0,26.93,30.74,24.76,21.47,28.702528063681306
2010-09-06,25.0,28.79,32.53,25.11,14.26,28.13290836157649
2010-09-13,22.0,28.860000000000003,32.72,25.410000000000004,17.41,27.18938399825703
2010-09-20,19.0,27.93,31.790000000000003,24.71,16.3,25.929478767755946
2010-09-27,12.0,27.83,31.8,24.49,18.7,23.78648203425503
2010-10-04,5.0,27.68,31.390000000000004,23.45,20.53,20.896254028985027
2010-10-11,4.0,27.43,30.8,20.73,19.09,18.2968303322181
2010-10-18,5.0,26.559999999999995,29.97,23.24,19.82,16.251164127261468
2010-10-25,4.0,24.85,28.43,20.19,16.12,14.366369646144319
2010-11-01,1.0,22.21,26.170000000000005,15.579999999999998,16.330000000000002,12.31000508519904
2010-11-08,1.0,21.1,27.32,13.61,15.0,10.570004302860724
2010-11-15,4.0,22.64,28.22,15.95,12.6,9.55923441011292
2010-11-22,2.0,22.49,25.93,17.43,16.330000000000002,8.396275270095549
2010-11-29,5.0,20.93,23.53,17.32,17.259999999999998,7.873771382388541
2010-12-06,5.0,20.67,24.37,16.61,14.68,7.431652708174919
2010-12-13,5.0,21.09,24.3,17.04,17.23,7.057552291532624
2010-12-20,10.0,18.6,21.32,15.570000000000002,20.17,7.510236554373758
2010-12-27,7.0,18.1,21.62,14.2,17.53,7.431738622931642
2011-01-03,6.0,17.07,20.49,12.51,20.33,7.21147114248062
2011-01-10,25.0,13.38,15.25,9.54,18.52,9.948167889791293
2011-01-17,23.0,12.04,14.16,6.0600000000000005,17.979999999999997,11.956142060592633
2011-01-24,29.0,12.169999999999998,14.4,6.720000000000001,18.55,14.57827405127069
2011-01-31,0.0,12.74,14.76,6.93,17.2,12.335462658767506
2011-02-07,5.0,15.89,19.16,10.489999999999998,17.41,11.206929942034044
2011-02-14,30.0,18.56,21.8,15.14,20.56,14.09817148941342
2011-02-21,42.0,15.139999999999995,17.27,12.28,17.770000000000003,18.390760491042123
2011-02-28,39.0,19.05,21.35,16.830000000000002,16.48,21.561412723189488
2011-03-07,60.0,19.21,21.75,17.18,20.14,27.47504153500649
2011-03-14,50.0,17.87,20.25,15.54,15.73,30.940419760390107
2011-03-21,25.0,16.119999999999997,18.57,14.96,16.490000000000002,30.0265090280224
2011-03-28,33.0,17.339999999999996,19.63,12.96,19.22,30.483969177557416
2011-04-04,10.0,18.7,21.39,14.7,16.63,27.332589304087044
2011-04-11,9.0,21.67,24.35,20.02,16.45,24.512190949612112
2011-04-18,7.0,23.85,27.52,21.35,18.9,21.818007726594864
2011-04-25,22.0,24.67,28.22,21.34,17.4,21.84600653788796
2011-05-02,12.0,25.809999999999995,29.360000000000003,22.79,17.23,20.331236301289813
2011-05-09,6.0,26.64,30.71,24.520000000000003,21.85,18.126430716475994
2011-05-16,16.0,27.46,31.73,24.94,22.18,17.79928752932584
2011-05-23,14.0,25.95,29.360000000000003,23.25,20.9,17.214781755583406
2011-05-30,11.0,26.95,30.89,22.71,20.57,16.25866148549365
2011-06-06,15.0,28.7,33.29,24.79,18.7,16.065021256956165
2011-06-13,6.0,29.390000000000004,33.95,26.340000000000003,19.270000000000003,14.516556448193677
2011-06-20,5.0,28.96,32.830000000000005,26.32,20.22,13.052470840779266
2011-06-27,4.0,29.03,32.81,26.52,18.5,11.659783019120917
2011-07-04,12.0,28.6,32.59,25.83,21.130000000000003,11.712124093102315
2011-07-11,15.0,30.01,34.309999999999995,26.46,18.64,12.217951155701959
2011-07-18,26.0,28.82,32.6,26.37,15.28,14.338266362517043
2011-07-25,20.0,29.71,33.77,26.380000000000003,16.330000000000002,15.20930230674519
2011-08-01,18.0,29.52,33.14,26.04,19.06,15.638640413399777
2011-08-08,28.0,28.6,32.17,25.92,19.270000000000003,17.540388042107505
2011-08-15,24.0,28.7,32.54,26.23,19.45,18.53417449716789
2011-08-22,20.0,28.28,31.74,25.5,19.630000000000003,18.759686112988213
2011-08-29,31.0,28.65,32.709999999999994,24.91,14.89,20.64281132637464
2011-09-05,21.0,29.610000000000003,33.6,25.62,13.580000000000002,20.69776343000931
2011-09-12,17.0,28.090000000000003,31.56,25.74,17.02,20.128876748469416
2011-09-19,24.0,27.380000000000003,30.940000000000005,25.290000000000003,16.690000000000005,20.724434171781816
2011-09-26,28.0,27.0,30.380000000000003,22.99,18.81,21.843751991507688
2011-10-03,25.0,25.39,29.18,21.71,21.32,22.329328608198814
2011-10-10,20.0,23.02,25.28,20.65,15.76,21.97097036078361
2011-10-17,15.0,26.01,29.630000000000003,22.54,13.54,20.898513382201514
2011-10-24,25.0,25.67,29.640000000000004,20.9,13.75,21.52951132340128
2011-10-31,12.0,23.89,26.87,20.79,15.57,20.063432658262624
2011-11-07,15.0,24.47,28.02,21.31,11.77,19.28444301852991
2011-11-14,7.0,23.9,27.81,19.57,13.93,17.394528707986847
2011-11-21,7.0,23.360000000000003,28.05,19.7,12.13,15.795370445219639
2011-11-28,9.0,22.8,26.54,19.47,12.85,14.749928838262772
2011-12-05,1.0,20.62,24.8,17.19,16.490000000000002,12.634555170837729
2011-12-12,3.0,17.589999999999996,20.94,12.46,15.76,11.15231591378577
2011-12-19,2.0,16.8,20.0,10.05,14.62,9.744267311664883
2011-12-26,1.0,16.759999999999998,20.32,10.39,15.07,8.398995417562592
2012-01-02,3.0,15.65,18.55,9.81,15.79,7.568380737937578
2012-01-09,2.0,13.12,14.74,9.69,15.94,6.711706778254873
2012-01-16,4.0,15.16,17.19,11.75,12.82,6.294521120061816
2012-01-23,0.0,17.229999999999997,19.57,14.669999999999998,18.91,5.326133255436921
2012-01-30,2.0,13.27,15.27,9.8,17.979999999999997,4.814420446908164
2012-02-06,0.0,14.96,17.16,11.95,14.11,4.073740378153062
2012-02-13,0.0,15.55,18.07,12.23,15.579999999999998,3.4470110892064367
2012-02-20,3.0,15.15,17.16,11.51,15.54,3.3782401524054464
2012-02-27,4.0,17.11,20.01,13.06,17.05,3.473895513573839
2012-03-05,3.0,17.24,19.660000000000004,14.24,16.93,3.4009885114855565
2012-03-12,4.0,19.29,21.82,15.94,18.19,3.493144125103163
2012-03-19,1.0,18.46,20.67,15.080000000000002,13.96,3.109583490471907
2012-03-26,0.0,22.07,24.4,17.62,19.49,2.6311860303993058
2012-04-02,0.0,21.56,24.55,15.28,17.62,2.226388179568643
2012-04-09,2.0,23.01,25.860000000000003,18.880000000000003,18.67,2.191559228865775
2012-04-16,4.0,24.89,27.68,21.34,19.96,2.469780885963348
2012-04-23,8.0,26.98,30.49,22.93,24.110000000000003,3.3205838265843717
2012-04-30,3.0,27.78,32.989999999999995,21.8,24.81,3.271263237879084
2012-05-07,9.0,29.49,35.05,23.91,21.160000000000004,4.152607355128455
2012-05-14,13.0,28.910000000000004,32.95,24.73,22.42,5.513744685108692
2012-05-21,11.0,28.97,32.57,24.08,22.25,6.35778396432274
2012-05-28,19.0,27.52,30.31,24.24,19.97,8.302740277503858
2012-06-04,26.0,27.62,30.97000000000001,23.4,16.69,11.025395619426341
2012-06-11,22.0,29.660000000000004,33.52,24.97,16.990000000000002,12.713796293360751
2012-06-18,24.0,30.82,35.43,24.59,18.5,14.450135325151404
2012-06-25,31.0,29.84,34.23,24.26,17.779999999999998,16.99626835205119
2012-07-02,19.0,29.14,32.67,24.360000000000003,17.23,17.30453475942793
2012-07-09,16.0,28.290000000000003,31.4,24.39,19.09,17.103837104131326
2012-07-16,13.0,30.110000000000003,34.09,24.96,21.71,16.472477549649582
2012-07-23,10.0,30.410000000000004,34.5,24.71,19.79,15.476711772780416
2012-07-30,6.0,28.390000000000004,32.46,24.49,20.69,14.018756115429582
2012-08-06,2.0,28.93,33.260000000000005,24.29,15.579999999999998,12.1697167130558
2012-08-13,4.0,28.42,32.25,24.25,19.58,10.912837218739522
2012-08-20,3.0,28.49,32.510000000000005,24.51,22.62,9.695477646625749
2012-08-27,0.0,28.71,32.64,23.87,16.189999999999998,8.203865700991019
2012-09-03,2.0,29.77,33.77,24.4,15.79,7.249424823915477
2012-09-10,0.0,27.82,31.610000000000003,23.59,18.7,6.134128697159249
2012-09-17,2.0,26.910000000000004,30.84,21.43,15.99,5.498108897596287
2012-09-24,3.0,27.160000000000004,31.18,21.57,15.75,5.1137844518122435
2012-10-01,3.0,27.860000000000003,32.010000000000005,21.53,17.27,4.788586843841129
2012-10-08,7.0,26.26,30.4,20.0,13.75,5.128804252480956
2012-10-15,0.0,26.75,30.97,21.19,14.86,4.339757444406962
2012-10-22,2.0,26.76,30.76,20.93,19.06,3.9797947606520454
2012-10-29,0.0,26.3,30.370000000000005,20.83,22.770000000000003,3.367518643628654
2012-11-05,3.0,24.21,28.130000000000003,17.29,22.23,3.3109773138396306
2012-11-12,2.0,24.72,28.870000000000005,19.69,20.06,3.109288496325841
2012-11-19,3.0,23.45,27.08,18.02,18.76,3.092474881506481
2012-11-26,2.0,23.22,27.02,17.77,19.69,2.9244018228131763
2012-12-03,4.0,18.73,20.85,15.570000000000002,17.19,3.089878465457303
2012-12-10,5.0,18.770000000000003,21.3,14.5,16.880000000000003,3.3837433169254103
2012-12-17,3.0,20.85,23.83,16.810000000000002,13.75,3.3247058835522703
2012-12-24,5.0,19.73,22.89,14.11,17.759999999999998,3.582443439928844
2012-12-31,1.0,16.12,18.630000000000003,9.43,20.05,3.18514444917056
2013-01-07,3.0,13.04,14.76,7.159999999999999,19.44,3.1566606877597048
2013-01-14,0.0,12.35,14.29,7.0,15.580000000000002,2.6710205819505193
2013-01-21,2.0,15.21,17.23,11.51,12.78,2.567786646265824
2013-01-28,4.0,17.81,20.29,13.55,13.86,2.788127162224928
2013-02-04,4.0,19.55,22.130000000000003,15.88,16.72,2.9745691372672467
2013-02-11,0.0,20.56,23.46,16.33,19.99,2.516943116149209
2013-02-18,2.0,17.38,19.56,14.13,17.95,2.437413405972407
2013-02-25,6.0,18.71,21.24,15.080000000000002,18.130000000000003,2.985503651207422
2013-03-04,7.0,21.51,24.58,16.42,19.96,3.6031184740985878
2013-03-11,10.0,21.41,25.09,15.22,18.34,4.587254093468036
2013-03-18,9.0,24.05,27.160000000000004,19.87,21.73,5.266138079088337
2013-03-25,5.0,26.2,29.74,21.72,24.1,5.225193759228593
2013-04-01,11.0,24.59,27.610000000000003,20.22,20.020000000000003,6.11362548857804
2013-04-08,15.0,23.69,26.630000000000003,19.23,19.42,7.480760028796803
2013-04-15,25.0,21.07,24.41,15.220000000000002,16.810000000000002,10.176027716674218
2013-04-22,22.0,25.43,29.25,20.73,18.130000000000003,11.995100375647416
2013-04-29,20.0,27.130000000000003,30.860000000000003,22.54,21.31,13.226623394778583
2013-05-06,25.0,26.01,29.910000000000004,21.380000000000003,23.53,15.037912103274186
2013-05-13,30.0,26.53,30.48,21.65,17.56,17.339771779693542
2013-05-20,29.0,29.87,35.0,23.72,22.98,19.133653044356073
2013-05-27,37.0,29.58,34.279999999999994,24.06,22.23,21.882321806762832
2013-06-03,35.0,29.290000000000003,33.47,23.85,20.26,23.900426144183932
2013-06-10,40.0,29.360000000000003,33.62,23.8,21.520000000000003,26.377283660463327
2013-06-17,41.0,29.110000000000003,33.53000000000001,21.31,17.259999999999998,28.62693232808435
2013-06-24,42.0,29.87,33.85,24.06,18.7,30.68432735453291
2013-07-01,42.0,29.630000000000003,33.57000000000001,24.12,19.29,32.42520006922015
2013-07-08,24.0,30.06,34.57,24.44,23.08,31.129015443186283
2013-07-15,19.0,29.08,32.85,24.58,19.64,29.26301306731147
2013-07-22,16.0,28.37,31.74,24.57,18.11,27.22254951849432
2013-07-29,19.0,27.65,30.95,24.2,17.54,25.957541900264424
2013-08-05,14.0,28.03,31.39,24.17,19.07,24.117920069454513
2013-08-12,16.0,27.99,31.58,24.020000000000003,20.97,22.869009289538432
2013-08-19,7.0,29.46,33.989999999999995,24.13,16.7,20.42762324499406
2013-08-26,6.0,27.92,31.98,24.19,18.35,18.207988899610356
2013-09-02,1.0,28.110000000000003,31.7,24.62,17.09,15.560605991977994
2013-09-09,9.0,26.03,29.090000000000003,23.24,15.330000000000002,14.551281993212148
2013-09-16,8.0,27.5,31.73,23.36,14.12,13.543392455794894
2013-09-23,9.0,28.640000000000004,33.26,23.17,15.91,12.844409001057219
2013-09-30,6.0,26.25,29.53,20.88,15.539999999999996,11.79142300089457
2013-10-07,6.0,26.190000000000005,30.79,19.55,17.62,10.90043484691079
2013-10-14,10.0,27.45,32.52,19.3,13.98,10.761906408924514
2013-10-21,7.0,24.840000000000003,28.02,18.83,15.19,10.183151576782281
2013-10-28,7.0,23.34,27.15,15.96,15.189999999999998,9.693435949585007
2013-11-04,8.0,24.33,28.380000000000003,18.09,15.79,9.432907341956543
2013-11-11,16.0,25.21,29.15,18.98,18.020000000000003,10.443229289347844
2013-11-18,6.0,23.16,26.2,16.759999999999998,18.71,9.759655552525098
2013-11-25,10.0,21.1,23.72,15.19,14.5,9.796631621367391
2013-12-02,5.0,20.22,23.34,11.89,16.69,9.058688295003178
2013-12-09,8.0,19.130000000000003,24.14,11.29,13.25,8.895813172694996
2013-12-16,3.0,17.32,19.89,12.61,14.5,7.988764992280382
2013-12-23,8.0,13.21,17.240000000000002,6.17,16.36,7.990493455006477
2013-12-30,10.0,13.45,18.46,2.9,15.52,8.299648308082404
2014-01-06,9.0,15.87,21.25,8.09,16.36,8.407394722223572
2014-01-13,10.0,17.869999999999997,20.87,11.8,19.73,8.652410918804561
2014-01-20,4.0,15.139999999999995,19.3,7.739999999999999,16.3,7.936655392834629
2014-01-27,1.0,16.66,22.0,8.24,15.920000000000002,6.86947764009084
2014-02-03,1.0,19.67,23.52,14.88,15.029999999999998,5.966481080076865
2014-02-10,2.0,20.07,23.52,15.46,22.7,5.356253221603501
2014-02-17,5.0,13.670000000000002,16.03,7.67,19.04,5.301445033664501
2014-02-24,12.0,14.81,17.14,10.46,16.9,6.331991951562269
